GOROOT=C:\Go #gosetup
GOPATH=C:\Users\tgmeow\go #gosetup
C:\Go\bin\go.exe build -o C:\Users\tgmeow\AppData\Local\Temp\___go_build_main_go.exe "C:/Users/tgmeow/Documents/MYSTUFF/Google Drive/2019 School/GoProjects/threadProject/mandel-go-function-tester/main.go" #gosetup
C:\Users\tgmeow\AppData\Local\Temp\___go_build_main_go.exe #gosetup
250000 2019/12/12 18:22:38 computeMandelCloud took 906.1346ms
250000 2019/12/12 18:22:39 computeMandelCloud took 917.7375ms
250000 2019/12/12 18:22:41 computeMandelCloud took 860.9259ms
250000 2019/12/12 18:22:42 computeMandelCloud took 904.9453ms
1000000 2019/12/12 18:22:47 computeMandelCloud took 4.6247285s
1000000 2019/12/12 18:22:51 computeMandelCloud took 3.2687746s
1000000 2019/12/12 18:22:55 computeMandelCloud took 2.9618873s
1000000 2019/12/12 18:23:05 computeMandelCloud took 10.0348973s
2019/12/12 18:23:05 Compute Mandel Cloud failed:  500 Internal Server Error: {}
1000000 2019/12/12 18:23:09 computeMandelCloud took 3.1810768s
1000000 2019/12/12 18:23:12 computeMandelCloud took 2.9704226s
1000000 2019/12/12 18:23:16 computeMandelCloud took 3.1076937s
1000000 2019/12/12 18:23:19 computeMandelCloud took 2.9157397s
1000000 2019/12/12 18:23:23 computeMandelCloud took 2.9749046s
1000000 2019/12/12 18:23:26 computeMandelCloud took 2.9178029s
1000000 2019/12/12 18:23:30 computeMandelCloud took 2.9479167s
1000000 2019/12/12 18:23:33 computeMandelCloud took 2.9210309s
1000000 2019/12/12 18:23:37 computeMandelCloud took 3.0162528s
1000000 2019/12/12 18:23:40 computeMandelCloud took 2.8981583s
1000000 2019/12/12 18:23:44 computeMandelCloud took 3.157062s
1000000 2019/12/12 18:23:47 computeMandelCloud took 2.9849505s
1000000 2019/12/12 18:23:51 computeMandelCloud took 3.2059203s
1000000 2019/12/12 18:23:55 computeMandelCloud took 3.8607747s
1000000 2019/12/12 18:23:59 computeMandelCloud took 3.2247953s
1000000 2019/12/12 18:24:03 computeMandelCloud took 3.1142868s
2019/12/12 18:24:03 Testing complete.

Process finished with exit code 0
